Date,Primary Type,Count
2004-01-31,CRIM SEXUAL ASSAULT,150
2004-02-29,CRIM SEXUAL ASSAULT,120
2004-03-31,CRIM SEXUAL ASSAULT,118
2004-04-30,CRIM SEXUAL ASSAULT,122
2004-05-31,CRIM SEXUAL ASSAULT,144
2004-06-30,CRIM SEXUAL ASSAULT,150
2004-07-31,CRIM SEXUAL ASSAULT,142
2004-08-31,CRIM SEXUAL ASSAULT,152
2004-09-30,CRIM SEXUAL ASSAULT,138
2004-10-31,CRIM SEXUAL ASSAULT,109
2004-11-30,CRIM SEXUAL ASSAULT,84
2004-12-31,CRIM SEXUAL ASSAULT,121
2005-01-31,CRIM SEXUAL ASSAULT,127
2005-02-28,CRIM SEXUAL ASSAULT,101
2005-03-31,CRIM SEXUAL ASSAULT,114
2005-04-30,CRIM SEXUAL ASSAULT,106
2005-05-31,CRIM SEXUAL ASSAULT,118
2005-06-30,CRIM SEXUAL ASSAULT,146
2005-07-31,CRIM SEXUAL ASSAULT,157
2005-08-31,CRIM SEXUAL ASSAULT,148
2005-09-30,CRIM SEXUAL ASSAULT,155
2005-10-31,CRIM SEXUAL ASSAULT,137
2005-11-30,CRIM SEXUAL ASSAULT,114
2005-12-31,CRIM SEXUAL ASSAULT,99
2006-01-31,CRIM SEXUAL ASSAULT,120
2006-02-28,CRIM SEXUAL ASSAULT,89
2006-03-31,CRIM SEXUAL ASSAULT,108
2006-04-30,CRIM SEXUAL ASSAULT,123
2006-05-31,CRIM SEXUAL ASSAULT,136
2006-06-30,CRIM SEXUAL ASSAULT,113
2006-07-31,CRIM SEXUAL ASSAULT,175
2006-08-31,CRIM SEXUAL ASSAULT,113
2006-09-30,CRIM SEXUAL ASSAULT,133
2006-10-31,CRIM SEXUAL ASSAULT,137
2006-11-30,CRIM SEXUAL ASSAULT,94
2006-12-31,CRIM SEXUAL ASSAULT,102
2007-01-31,CRIM SEXUAL ASSAULT,131
2007-02-28,CRIM SEXUAL ASSAULT,95
2007-03-31,CRIM SEXUAL ASSAULT,117
2007-04-30,CRIM SEXUAL ASSAULT,139
2007-05-31,CRIM SEXUAL ASSAULT,132
2007-06-30,CRIM SEXUAL ASSAULT,142
2007-07-31,CRIM SEXUAL ASSAULT,142
2007-08-31,CRIM SEXUAL ASSAULT,129
2007-09-30,CRIM SEXUAL ASSAULT,144
2007-10-31,CRIM SEXUAL ASSAULT,124
2007-11-30,CRIM SEXUAL ASSAULT,108
2007-12-31,CRIM SEXUAL ASSAULT,104
2008-01-31,CRIM SEXUAL ASSAULT,131
2008-02-29,CRIM SEXUAL ASSAULT,94
2008-03-31,CRIM SEXUAL ASSAULT,111
2008-04-30,CRIM SEXUAL ASSAULT,114
2008-05-31,CRIM SEXUAL ASSAULT,111
2008-06-30,CRIM SEXUAL ASSAULT,144
2008-07-31,CRIM SEXUAL ASSAULT,139
2008-08-31,CRIM SEXUAL ASSAULT,160
2008-09-30,CRIM SEXUAL ASSAULT,151
2008-10-31,CRIM SEXUAL ASSAULT,122
2008-11-30,CRIM SEXUAL ASSAULT,135
2008-12-31,CRIM SEXUAL ASSAULT,88
2009-01-31,CRIM SEXUAL ASSAULT,124
2009-02-28,CRIM SEXUAL ASSAULT,104
2009-03-31,CRIM SEXUAL ASSAULT,126
2009-04-30,CRIM SEXUAL ASSAULT,101
2009-05-31,CRIM SEXUAL ASSAULT,124
2009-06-30,CRIM SEXUAL ASSAULT,107
2009-07-31,CRIM SEXUAL ASSAULT,136
2009-08-31,CRIM SEXUAL ASSAULT,132
2009-09-30,CRIM SEXUAL ASSAULT,129
2009-10-31,CRIM SEXUAL ASSAULT,104
2009-11-30,CRIM SEXUAL ASSAULT,98
2009-12-31,CRIM SEXUAL ASSAULT,98
2010-01-31,CRIM SEXUAL ASSAULT,120
2010-02-28,CRIM SEXUAL ASSAULT,81
2010-03-31,CRIM SEXUAL ASSAULT,126
